Requirement_ID,Session_Type,Service_ID,Sub_function,Data_Identifier,Routine_ID,DTC_Format,Status_Mask,Security_Level,NRC_Code,Response_Time_ms,Effort_hours
REQ_DIAG_Communication_0010,Default,0x10,0x01,-,-,ISO15031-6,0x00,Locked,-,45,16
REQ_DIAG_Communication_0020,Extended,0x22,-,0xF190,-,ISO15031-6,0x08,Unlocked,-,38,24
REQ_DIAG_Communication_0030,Programming,0x27,0x01,-,-,ISO15031-6,0x00,Locked,-,42,40
REQ_DIAG_Communication_0040,Default,0x3E,0x00,-,-,ISO15031-6,0x00,Locked,-,12,8
REQ_DIAG_Communication_0050,Extended,0x2E,-,0xF15A,-,ISO15031-6,0x08,Unlocked,-,48,32
REQ_DIAG_Communication_0070,Default,0x19,0x02,-,-,ISO15031-6,0x0F,Locked,0x78,4500,56
REQ_DIAG_Communication_0080,Programming,0x31,0x01,-,0x0200,ISO15031-6,0x00,Unlocked,0x78,4750,48
REQ_DIAG_Communication_0090,Extended,0x14,-,-,-,ISO15031-6,0xFF,Unlocked,-,850,20
REQ_DIAG_Communication_0100,Default,0x10,0x03,-,-,ISO15031-6,0x00,Locked,-,41,12
REQ_DIAG_Communication_0110,Extended,0x27,0x02,-,-,ISO15031-6,0x00,Locked,-,35,24
REQ_DIAG_Communication_0120,Default,0x11,0x01,-,-,ISO15031-6,0x00,Locked,-,50,16
REQ_DIAG_Communication_0130,Extended,0x22,-,0xF186,-,ISO15031-6,0x08,Unlocked,-,33,20
REQ_DIAG_Communication_0140,Programming,0x34,-,-,-,ISO15031-6,0x00,Unlocked,-,47,40
REQ_DIAG_Communication_0145,Extended,0x36,-,-,-,ISO15031-6,0x00,Unlocked,-,29,36
REQ_DIAG_Communication_0150,Default,0x19,0x0A,-,-,ISO15031-6,0x28,Locked,-,44,28
REQ_DIAG_Communication_0160,Extended,0x3E,0x00,-,-,ISO15031-6,0x00,Unlocked,-,11,8
REQ_DIAG_Communication_0170,Programming,0x37,-,-,-,ISO15031-6,0x00,Unlocked,-,51,32
REQ_DIAG_Communication_0180,Default,0x10,0x01,-,-,ISO15031-6,0x00,Locked,-,43,12
REQ_DIAG_Communication_0181,Extended,0x27,0x01,-,-,ISO15031-6,0x00,Locked,-,36,24
REQ_DIAG_Communication_0185,Programming,0x22,-,0xF195,-,ISO15031-6,0x00,Unlocked,-,39,20
REQ_DIAG_Communication_0186,Programming,0x31,0x01,-,0xFF01,ISO15031-6,0x00,Unlocked,-,462,44
REQ_DIAG_Communication_0190,Programming,0x14,-,-,-,ISO15031-6,0xFF,Locked,0x7F,-,16
REQ_DIAG_Communication_0191,Default,0x2F,-,0x010A,-,ISO15031-6,0x00,Locked,0x7F,-,28
REQ_DIAG_Communication_0192,Default,0x31,0x01,-,0x0240,ISO15031-6,0x00,Locked,0x33,-,32
REQ_DIAG_Communication_0195,Default,0x19,0x14,-,-,ISO15031-6,0x00,Locked,-,41,24
REQ_DIAG_Communication_0200,Extended,0x19,0x06,-,-,ISO15031-6,0x08,Unlocked,-,37,28
REQ_DIAG_Communication_0210,Default,0x22,-,0xF18C,-,ISO15031-6,0x00,Locked,0x26,-,16
REQ_DIAG_Communication_0220,Programming,0x31,0x01,-,0x0200,ISO15031-6,0x00,Unlocked,0x26,-,36
REQ_DIAG_Communication_0230,Extended,0x27,0x01,-,-,ISO15031-6,0x00,Locked,0x36,-,40
REQ_DIAG_Communication_0235,Extended,0x2F,-,0x0205,-,ISO15031-6,0x08,Locked,0x22,-,24
REQ_DIAG_Communication_0236,Default,0x2E,-,0xF110,-,ISO15031-6,0x00,Locked,0x7F,-,20
REQ_DIAG_Communication_0237,Default,0x10,0x02,-,-,ISO15031-6,0x00,Locked,0x7E,-,16
REQ_DIAG_Communication_0240,Extended,0x10,0x03,-,-,ISO15031-6,0x00,Unlocked,-,46,12
REQ_DIAG_Communication_0241,Programming,0x10,0x02,-,-,ISO15031-6,0x00,Locked,-,44,12
REQ_DIAG_Communication_0242,Programming,0x10,0x52,-,-,ISO15031-6,0x00,Unlocked,-,49,16
REQ_DIAG_Communication_0245,Extended,0x10,0x50,-,-,ISO15031-6,0x00,Locked,0x12,-,12
REQ_DIAG_Communication_0246,Default,0x10,0x42,-,-,ISO15031-6,0x00,Locked,-,40,16
REQ_DIAG_Communication_0247,Extended,0x10,0x65,-,-,ISO15031-6,0x00,Unlocked,-,47,12
REQ_DIAG_Communication_0248,Extended,0x10,0x45,-,-,ISO15031-6,0x00,Unlocked,-,42,12
REQ_DIAG_Communication_0250,Extended,0x11,0x01,-,-,ISO15031-6,0x00,Unlocked,-,52,20
REQ_DIAG_Communication_0260,Extended,0x27,0x01,-,-,ISO15031-6,0x00,Locked,-,37,32
REQ_DIAG_Communication_0265,Extended,0x2E,-,0xF187,-,ISO15031-6,0x08,Locked,0x33,-,28
REQ_DIAG_Communication_0280,Extended,0x27,0x01,-,-,ISO15031-6,0x00,Locked,-,41,56
REQ_DIAG_Communication_0290,Extended,0x27,0x11,-,-,ISO15031-6,0x00,Locked,-,38,64
REQ_DIAG_Communication_0340,Extended,0x27,0x01,-,-,ISO15031-6,0x00,Locked,-,34,40
REQ_DIAG_Communication_0360,Default,0x3E,0x00,-,-,ISO15031-6,0x00,Locked,-,10,8
REQ_DIAG_Communication_0365,Extended,0x22,-,0xF190,-,ISO15031-6,0x08,Unlocked,-,36,24
REQ_DIAG_Communication_0366,Extended,0x22,-,"0xF18C,0xF190",-,ISO15031-6,0x08,Unlocked,-,42,28
REQ_DIAG_Communication_0370,Programming,0x22,-,0xFD25,-,ISO15031-6,0x00,Unlocked,-,39,20
REQ_DIAG_Communication_0380,Extended,0x22,-,0xF186,-,ISO15031-6,0x08,Unlocked,-,35,16
REQ_DIAG_Communication_0381,Default,0x22,-,0x0100,-,ISO15031-6,0x00,Locked,-,11,20
REQ_DIAG_Communication_0382,Default,0x22,-,"0x0105,0x0106",-,ISO15031-6,0x00,Locked,-,12,24
REQ_DIAG_Communication_0385,Extended,0x22,-,0xF190,-,ISO15031-6,0x08,Unlocked,0x13,-,16
REQ_DIAG_Communication_0410,Extended,0x2E,-,0xF110,-,ISO15031-6,0x08,Unlocked,-,45,32
REQ_DIAG_Communication_0415,Extended,0x2E,-,0xF15A,-,ISO15031-6,0x08,Unlocked,0x22,-,28
REQ_DIAG_Communication_0430,Extended,0x14,-,-,-,ISO15031-6,0xFF,Unlocked,-,920,36
REQ_DIAG_Communication_0431,Default,0x14,-,-,-,ISO15031-6,0xFF,Locked,0x7F,-,20
REQ_DIAG_Communication_0432,Extended,0x14,-,-,-,ISO15031-6,0xFF,Unlocked,-,850,32
REQ_DIAG_Communication_0433,Extended,0x14,-,-,-,0x04,0xFFFFFF,Unlocked,-,780,24
REQ_DIAG_Communication_0434,Default,0x14,-,-,-,0x04,0xFFFF33,Locked,-,48,28
REQ_DIAG_Communication_0435,Extended,0x14,-,-,-,ISO15031-6,0xFF,Unlocked,0x13,-,20
REQ_DIAG_Communication_0436,Extended,0x14,-,-,-,ISO15031-6,0xFFFFFF,Unlocked,-,865,32
REQ_DIAG_Communication_0437,Extended,0x14,-,-,-,ISO15031-6,0xFF,Unlocked,-,795,40
REQ_DIAG_Communication_0440,Extended,0x19,0x02,-,-,ISO15031-6,0x08,Unlocked,-,43,48
REQ_DIAG_Communication_0441,Default,0x19,0x02,-,-,0x04,0x00,Locked,-,46,44
REQ_DIAG_Communication_0442,Extended,0x19,0x02,-,-,ISO15031-6,0x08,Unlocked,-,39,24
